,origin,destination,requirement
1,Afghanistan,Albania,visa_required
2,Afghanistan,Algeria,visa_required
3,Afghanistan,Andorra,visa_required
4,Afghanistan,Angola,visa_on_arrival
5,Afghanistan,Antigua and Barbuda,visa_required
6,Afghanistan,Argentina,visa_required
7,Afghanistan,Armenia,visa_required
8,Afghanistan,Australia,visa_required
9,Afghanistan,Austria,visa_required
10,Afghanistan,Azerbaijan,visa_required
11,Afghanistan,Bahamas,visa_required
12,Afghanistan,Bahrain,visa_required
13,Afghanistan,Bangladesh,visa_on_arrival
14,Afghanistan,Barbados,visa_required
15,Afghanistan,Belarus,visa_required
16,Afghanistan,Belgium,visa_required
17,Afghanistan,Belize,visa_required
18,Afghanistan,Benin,visa_required
19,Afghanistan,Bhutan,visa_required
20,Afghanistan,Bolivia,visa_on_arrival
21,Afghanistan,Bosnia and Herzegovina,visa_required
22,Afghanistan,Botswana,visa_required
23,Afghanistan,Brazil,visa_required
24,Afghanistan,Brunei,visa_required
25,Afghanistan,Bulgaria,visa_required
26,Afghanistan,Burkina Faso,visa_required
27,Afghanistan,Burundi,visa_on_arrival
28,Afghanistan,Cambodia,visa_on_arrival
29,Afghanistan,Cameroon,visa_required
30,Afghanistan,Canada,visa_required
31,Afghanistan,Cape Verde,visa_on_arrival
32,Afghanistan,Central African Republic,visa_required
33,Afghanistan,Chad,visa_required
34,Afghanistan,Chile,visa_required
35,Afghanistan,China,visa_required
36,Afghanistan,Colombia,visa_required
37,Afghanistan,Comoros,visa_on_arrival
38,Afghanistan,Congo [Republic],visa_required
39,Afghanistan,Congo [DRC],visa_on_arrival
40,Afghanistan,Costa Rica,visa_required
41,Afghanistan,Côte d'Ivoire,eta
42,Afghanistan,Croatia,visa_required
43,Afghanistan,Cuba,visa_required
44,Afghanistan,Cyprus,visa_required
45,Afghanistan,Czech Republic,visa_required
46,Afghanistan,Denmark,visa_required
47,Afghanistan,Djibouti,visa_on_arrival
48,Afghanistan,Dominica,visa_free
49,Afghanistan,Dominican Republic,visa_required
50,Afghanistan,Ecuador,visa_required
51,Afghanistan,Egypt,visa_required
52,Afghanistan,El Salvador,visa_required
53,Afghanistan,Equatorial Guinea,visa_required
54,Afghanistan,Eritrea,visa_required
55,Afghanistan,Estonia,visa_required
56,Afghanistan,Eswatini,visa_required
57,Afghanistan,Ethiopia,visa_on_arrival
58,Afghanistan,Fiji,visa_required
59,Afghanistan,Finland,visa_required
60,Afghanistan,France,visa_required
61,Afghanistan,Gabon,visa_on_arrival
62,Afghanistan,Gambia,visa_required
63,Afghanistan,Georgia,visa_required
64,Afghanistan,Germany,visa_required
65,Afghanistan,Ghana,visa_required
66,Afghanistan,Greece,visa_required
67,Afghanistan,Grenada,visa_required
68,Afghanistan,Guatemala,visa_required
69,Afghanistan,Guinea,visa_on_arrival
70,Afghanistan,Guinea-Bissau,visa_required
71,Afghanistan,Guyana,visa_required
72,Afghanistan,Haiti,visa_free
73,Afghanistan,Honduras,visa_required
74,Afghanistan,Hong Kong,visa_required
75,Afghanistan,Hungary,visa_required
76,Afghanistan,Iceland,visa_required
77,Afghanistan,India,visa_on_arrival
78,Afghanistan,Indonesia,visa_required
79,Afghanistan,Iran,visa_required
80,Afghanistan,Iraq,visa_required
81,Afghanistan,Ireland,visa_required
82,Afghanistan,Israel,visa_required
83,Afghanistan,Italy,visa_required
84,Afghanistan,Jamaica,visa_required
85,Afghanistan,Japan,visa_required
86,Afghanistan,Jordan,visa_required
87,Afghanistan,Kazakhstan,visa_required
88,Afghanistan,Kenya,visa_required
89,Afghanistan,Kiribati,visa_required
90,Afghanistan,Kosovo,visa_required
91,Afghanistan,Kuwait,visa_required
92,Afghanistan,Kyrgyzstan,visa_required
93,Afghanistan,Laos,visa_required
94,Afghanistan,Latvia,visa_required
95,Afghanistan,Lebanon,visa_required
96,Afghanistan,Lesotho,visa_on_arrival
97,Afghanistan,Liberia,visa_required
98,Afghanistan,Libya,visa_required
99,Afghanistan,Liechtenstein,visa_required
100,Afghanistan,Lithuania,visa_required
101,Afghanistan,Luxembourg,visa_required
102,Afghanistan,Macao,visa_on_arrival
103,Afghanistan,Madagascar,visa_on_arrival
104,Afghanistan,Malawi,visa_on_arrival
105,Afghanistan,Malaysia,visa_on_arrival
106,Afghanistan,Maldives,visa_on_arrival
107,Afghanistan,Mali,visa_required
108,Afghanistan,Malta,visa_required
109,Afghanistan,Marshall Islands,visa_required
